Name,Date,Rating,Review
Gandalf1902,"Feb 22, 2021",,"While the Wii U was certainly some dark times for Nintendo, there’s no denying that the first party offerings were just as stellar as ever. You know that with how much of the system’s library has released on the Switch over the past 4 years with the latest being Mario's main 3D adventure on the system. I remember covering the game back in 2013 and was generally impressed with what was"
sergioodoardi,"Feb 13, 2022",,"3D World is a lot of fun if not slightly too easy. Although similar to a lot of recent releases the challenge comes from finding all the collectables and the post game of which is fairly meaty. Bowsers Fury seems great for an add-on to an existing game and would definitely hope to see a full length take on this formula some day. I would say if you're expecting a 64/Odyssey style game"
iz_02,"Jun  7, 2021",,"By far the best Wii U port to make this switch. Currently playing the Switch version and its a blast! Buy it, Super Mario 3D World alone is worth £60 and Bowser’s Fury is just another reason as to why you should want to buy it even if you owned the game before on Wii U. Bowser’s Fury is just a fantastic experience and it is a great add on as to what is already a great game (its like DLC"
greninjaX,"Feb 15, 2021",,"I hadn't gotten to play Super Mario 3D World when it was on the Wii U, so my first experience with it has been on the Switch. If you're playing it by yourself, I would give 3D world a 7/10. It's a very solid mainline Mario title and I don't have much more to say about it. I'd give it an extra half point for an 8/10 if you're playing it with a few friends. Me and my daughter had a blast"
EnigmaXtreme,"Feb 16, 2021",,"Like Videogamedunkey said, it is so much easier to appreciate 3D World now that Odyssey is out. What made this game disappointing back in 2013 is what makes it stand out from the rest of the series today. 3D World is simply put the purest 3D Mario game ever created (along with 3D Land). Mario is originally about going from point A to B, and that is exactly what 3D World provides, but in a"
Beto1960,"Feb 13, 2021",,"A very rare 10/10 but this game absolutely deserves it. I 100%ed the WiiU version back in 2015, but I chose to revisit this because my wife wanted a multiplayer game to play.  The game is just as terrific as I remember, and the addition of Bowser's Fury is a nice extra treat.

At its core, this is a 2D Mario platformer elongated and translated into the 3D space.  It's got crazy power"
pockets679,"Feb 15, 2021",,"The low skill floor and high skill ceiling makes this the perfect party or family game. I've 100% completed the game in the past on wiiU and look forward to doing it again on switch. The amount of content you get is amazing, and (unlike a certain other Mario game) every star feels meaningful and special to get. There's some trickiness to the platforming caused by the 3D setting, but"
UAL,"Feb 15, 2021",,"It's Mario, so I guess you can already tell it will be amazing. One of the best 3D Mario games with very colorful and visually amazing stages, great controls and very good platforming variety from easy to challenging stages. On the top of it though, here comes Browser's Fury which is the most fun I had with an open world 3D platforming except Mario Oddysey even though it's not far at all"
2bitplayss,"Mar 15, 2021",,"3D世界还是传统的马力欧箱庭式过关并且收集星星与图章，不过从2D到了3D。亮点是可以最多四人一起玩（全程一个人）以及变身猫咪和狸猫，关卡难度有难有简单，通关前的关卡还是比较简单的，3星不难。通关后的银河关卡明显难了一个档次，甚至都很难走到终点。狂怒世界个人感觉更好玩，开放世界到处都是关卡和游戏，能看到游戏是在为奥德赛做准备。还能和库巴王Jr.一起冒险，通关后就可以传送了，而且可以看到哪些地方还有没有收集到的星星，比较人性。总体来说这个游戏还是传统的马力欧游戏，20+小时，收集数量和质量也很合理。但价格较高，建议打折时入手。"
bulger_paul,"Feb 19, 2021",,"this game is amazing , overall it's better than the wii u version and the bowser's furry is really fun open world game even though it's pretty short for a new content for the game itself, this game deserve higher score / better score than it should be (the wii u version is 93 on metacritic). so overall super mario 3d world + bowser's furry is an amazing game and this is one of the best"
luisflopez,"Mar 26, 2021",,"One of the best Wii U ports ever. This game is amazing and it's so good seeing this game with some bonus content added. You can even play with friends online or locally! Even though I partially completed this game on the Wii U, it was a great time. Now for Bowser's Fury, it's pretty amazing to see a game like odyssey being added as bonus content for the port. I mainly played solo for both"
Spassbremse,"Aug 16, 2022",,"I love Mario 3D games but this is definitely the weakest of the bunch. In short it's a 2D Mario game (which I'm much less keen on) in a 3D format. As a result it's a lot less fun than Galaxy or Odyssey. However... Bowser's Fury is fantastic! What a great bonus game. Yes it's short (about 7-8 hours to finish everything) but it's a fresh twist on the 3D games. Plays like one giant end of"
Goofy_008,"Feb 14, 2021",,"Super Mario 3D World is my favorite Mario game to date. It's basically a classic Mario game but in 3D. Each level is linear (although also filled with secret spots) and this lets the game strike you with an incredible idea after another one in a continuous manner, (thanks also to the fast pace of the game and the shortness of the stages) making each course feel new.The new Odyssey moveset"
MadBert91,"Feb 23, 2021",,"Super Mario 3D World + Bowser's Fury is one of (if not the) best ports Nintendo have ever done. They gave the already great game a ton of QoL improvements, including a brand new move (the mid-air dive), increased running speed, online play, multiplayer in the captain toad levels and a bunch of other small tweaks like fully colorized stamps, a new snapshot mode and the game loading in the"
thecasualgaymer,"Feb 16, 2021",,
giannis2001,"Feb 21, 2021",,"As a lifelong Nintendo and Super Mario fan, this is pretty disappointing, and sadly, I'm used to it.It's a Wii U game with a DLC sold for 60 dollars, which is already infuriating but it's what Nintendo does, and we keep buying. I just have to take that under consideration when I rate the game.The game is fun, for a while, but the design of the levels feels pretty lazy, the camera is"
Naga4evr,"Feb 20, 2021",,
mwkelly13,"May 26, 2021",,"Mario 3D World was one of my favorite Wii U games, and I'm happy to finally have it on my switch.Now I won't have to dust off the Wii U anymore. That's great.Now, about the game: It's honestly just 2D Mario games in 3D with some Multiplayer components and great music. That being said, you won't feel challenged by the game until you hit the bonus worlds.

Included in the bundle is"
mtkf,"Feb 25, 2021",,"Super Mario 3D World è un bel gioco, ma non è al livello degli altri Mario 3d del calibro di Mario64, galaxy o Odissey, sembra una versione più ispirata di New Super Mario Bros. Detto questo, rimane un buon gioco ma non è assolutamente il miglior platform 3d di sempre, ha molti livelli con buone idee, ma la bassa difficoltà e longevità degli stessi livelli li rende immediatamente"
HeavyMachineGon,"Sep 25, 2021",,"This newest instalment is not a very original game. All this truly is, is a port from the Wii U with a new ¨DLC¨ With few changes to the game, it´s kind of sad to see such a beautiful game be redone with this poor port. Honestly the Bowser´s fury is just a ¨DLC¨ for those who think that it changes much. Same gamplay with minimal control changes and just a new powerup that it like the Mega"
Veronoobbutpro,"Feb 18, 2021",,
GameforGamers,"Jun 20, 2021",,"You will be done with 3D World in 2 days. The levels are mind numbingly easy, and you will see levels being recycled just a couple of hours in. All replay value or challenge comes from having to go back and replay levels over and over again, because you don't know where a star is or just to grab the flagpole from the top, since you need to do that to unlock the last world. Sometimes you"
GreenOmega300,"Feb 21, 2021",,"The best thing you can say about Super Mario 3D World is that it's inoffensive. So inoffensive that it becomes offensive. It's insubstantial, forgettable, and definitely not worth $60. Even with all the flak 3D All-Stars got for not being updated and upgraded enough (as they should- they're supposed to be CLASSICS remember), that collection is the best of the 3D Mario cartridges to get on"
sjmawhinney,"Mar 18, 2021",,
NathanEngelhorn,"Mar 28, 2021",,
Nikleter,"Aug 15, 2021",,
AlfredJensen,"Aug  3, 2021",,
Ni150N,"Aug  9, 2021",,
Distblood,"Feb 14, 2021",,
J3123540656,"Feb 13, 2021",,
Kacak321,"Feb 13, 2021",,
Hugolas,"Mar  2, 2021",,
GodofSky,"Feb 14, 2021",,
ZeoN,"Feb 22, 2021",,
ConsoleArgonaut,"Feb 16, 2021",,
Kuopiotis,"Jun  8, 2021",,
PaulTupelo,"Feb 15, 2021",,
SuperClaudio64,"Mar 12, 2021",,
LINGU1NE,"Mar 23, 2021",,
Mr_Plague,"May  3, 2021",,
RGame,"Feb 17, 2021",,
cman3186,"Apr 11, 2021",,
asneakyfatcat,"Feb 20, 2021",,
izumago,"Feb 25, 2021",,
TropicalNayr,"Mar 29, 2021",,
Gamexpert,"Feb 16, 2021",,
lSAGGERl,"Mar  3, 2021",,
rainawareness,"Feb 14, 2021",,
PrincessRescuer,"Feb 17, 2021",,
ArthurH92,"Feb 14, 2021",,
Otherside,"Feb 14, 2021",,
BurritoBob,"May 31, 2021",,
drumguru,"Mar 10, 2021",,
,"Oct 22, 2021",,
,"Oct 12, 2021",,
,"May 17, 2021",,
